disperser_type,native_or_exotic,serp_or_nonserp
carnivore,exotic,S
carnivore,exotic,NS
carnivore,exotic,NS
carnivore,exotic,NS
carnivore,exotic,S
carnivore,native,S
carnivore,exotic,S
carnivore,exotic,NS
carnivore,exotic,S
herbivore,exotic,S
herbivore,exotic,S
herbivore,native,NS
herbivore,native,S
herbivore,native,S
herbivore,exotic,S
herbivore,native,S
herbivore,native,S
herbivore,native,S
herbivore,native,S
herbivore,native,S
herbivore,native,S
herbivore,native,S
herbivore,native,S
herbivore,native,S
